Xa5dk	Allergy to over-the-counter drug
TJ007	Adverse reaction to mezlocillin
TJ006	Adverse reaction to ciclacillin
TJ005	Adverse reaction to bacampicillin
TJ004	Adverse reaction to ampicillin
TJ003	Adverse reaction to amoxycillin
TJ002	Adverse reaction to flucloxacillin
TJ001	Adverse reaction to cloxacillin
TJ000	Adverse reaction to natural penicillins
TJHz.	Adverse reaction to drug or medicinal substance NOS
TJHyz	Adverse reaction to other drug or medicine NOS
TJHyy	Adverse reaction to diagnostic agents and kits NOS
TJHyx	Adverse reaction to contrast media used for diagnostic X-rays NOS
TJHy2	Adverse reaction to nicotine
TJHy1	Adverse reaction to tamoxifen
TJHy0	Adverse reaction to clomiphene
TJH4.	Adverse reaction to pharmaceutical excipients
TJH3.	Adverse reaction to alcohol deterrents
TJH2.	Adverse reaction to antidotes and chelating agents NEC
TJH1.	Adverse reaction to lipotropic drugs
TJH0.	Adverse reaction to dietetics
TJH..	Adverse reaction to other drugs and medicines
TJG00	Adverse reaction to neomycin
TJG..	Adverse reaction to drugs primarily affecting skin and mucous membrane, ophthalmological, otorhinolaryngological and dental drugs
Xa9Dd	Adverse reaction to eye drugs
TJG5z	Adverse reaction to eye drugs NOS
TJG50	Adverse reaction to idoxuridine
TJG5.	Adverse reaction to eye anti-infectives and other eye drugs
TJGz.	Adverse reaction to skin, mucous membrane, ophthalmological, otorhinolaryngological and dental drugs NOS
TJGy.	Adverse reaction to other skin, mucous membrane, ophthalmological, otorhinolaryngological and dental drugs
TJG7.	Adverse reaction to dental drugs topically applied
TJG6.	Adverse reaction to anti-infective and other drugs and preparations for ear, nose and throat
TJG4.	Adverse reaction to keratolytics, keratoplastics and other hair treatment drugs and preparations
TJG3.	Adverse reaction to emollients, demulcents and protectants
TJG2.	Adverse reaction to local astringents and local detergents
TJG1.	Adverse reaction to antipruritics
TJG0.	Adverse reaction to local anti-infectives and anti-inflammatory drugs
XE22G	Local adverse reaction to neomycin
TJG0z	Adverse reaction to local anti-infective or anti-inflammatory drug NOS
TJF..	Adverse reaction to drugs primarily acting on the smooth and skeletal muscles and respiratory system
TJFz.	Adverse reaction to drugs primarily acting on the smooth or skeletal muscles or respiratory system
TJFy.	Adverse reaction to other respiratory system drugs
TJF7.	Adverse reaction to antiasthmatics
TJF7z	Adverse reaction to antiasthmatic NOS
TJF75	Adverse reaction to oxitropium
TJF74	Adverse reaction to sodium cromoglycate
TJF73	Adverse reaction to theophylline - asthma
TJF72	Adverse reaction to aminophylline
TJF71	Adverse reaction to ipratropium bromide
TJF70	Adverse reaction to salbutamol
TJF6.	Adverse reaction to anti-common cold drugs
TJF5.	Adverse reaction to expectorants
TJF5z	Adverse reaction to expectorants NOS
TJF51	Adverse reaction to ipecacuanha
TJF50	Adverse reaction to acetylcysteine
TJF4.	Adverse reaction to antitussives
TJF4z	Adverse reaction to antitussive NOS
TJF41	Adverse reaction to pipazethate hydrochloride
TJF40	Adverse reaction to dextromethorphan
TJF3.	Adverse reaction to other muscle drugs
TJF2.	Adverse reaction to skeletal muscle relaxants
TJF2z	Adverse reaction to skeletal muscle relaxant NOS
TJF24	Adverse reaction to suxamethonium
TJF22	Adverse reaction to tubocurarine
TJF21	Adverse reaction to gallamine triethiodide
TJF20	Adverse reaction to alcuronium
TJF1.	Adverse reaction to smooth muscle relaxants
TJF1z	Adverse reaction to smooth muscle relaxant NOS
TJF12	Adverse reaction to mebeverine
TJF11	Adverse reaction to orciprenaline
TJF10	Adverse reaction to adiphenine
TJF0.	Adverse reaction to oxytocic agents
TJF0z	Adverse reaction to oxytocic agent NOS
TJF02	Adverse reaction to oxytocin
TJF01	Adverse reaction to ergometrine
TJF00	Adverse reaction to prostaglandins
TJE73	Adverse reaction to sulphinpyrazone
TJE..	Adverse reaction to water, mineral and uric acid metabolism drugs
TJE7.	Adverse reaction to uric acid metabolism drugs
TJEz.	Adverse reaction to water, mineral or uric acid metabolism drug NOS
TJE7z	Adverse reaction to uric acid metabolism drug NOS
TJE72	Adverse reaction to probenecid
TJE71	Adverse reaction to allopurinol
TJE70	Adverse reaction to colchicine
TJE6.	Adverse reaction to other mineral salts NEC
TJE5.	Adverse reaction to electrolytic, caloric and water balance drugs
TJE4z	Adverse reaction to diuretic NOS
TJE46	Adverse reaction to mannitol
TJE45	Adverse reaction to triamterene
TJE44	Adverse reaction to spironolactone
TJE43	Adverse reaction to amiloride
TJE42	Adverse reaction to ethacrynic acid
TJE41	Adverse reaction to frusemide
TJE40	Adverse reaction to chlorthalidone
TJE4.	Adverse reaction to other diuretics
TJE3.	Adverse reaction to thiazides
TJE3z	Adverse reaction to thiazide NOS
TJE36	Adverse reaction to polythiazide
TJE35	Adverse reaction to methyclothiazide
TJE34	Adverse reaction to hydroflumethiazide
TJE33	Adverse reaction to hydrochlorothiazide
TJE32	Adverse reaction to cyclopenthiazide
TJE31	Adverse reaction to chlorothiazide
TJE30	Adverse reaction to bendroflumethiazide
TJE2.	Adverse reaction to carbonic acid anhydrase inhibitor
TJE2z	Adverse reaction to carbonic acid anhydrase inhibitor NOS
TJE21	Adverse reaction to dichlorphenamide
TJE20	Adverse reaction to acetazolamide
TJE1.	Adverse reaction to purine derivative diuretic
TJE1z	Adverse reaction to purine derivative diuretic NOS
TJE11	Adverse reaction to theophylline (diuretic)
TJE10	Adverse reaction to theobromine
TJE0.	Adverse reaction to mercurial diuretic
TJE0z	Adverse reaction to mercurial diuretics NOS
TJE03	Adverse reaction to mercurophylline
TJE02	Adverse reaction to mercaptomerin
TJE01	Adverse reaction to chlormerodrin
TJE00	Adverse reaction to mersalyl
TJD6z	Adverse reaction to emetics NOS
TJD..	Adverse reaction to drugs primarily affecting gastrointestinal system
TJDz.	Adverse reaction to drugs primarily affecting the gastrointestinal system NOS
TJDy.	Adverse reaction to other drugs primarily affecting the gastrointestinal system
TJD6.	Adverse reaction to emetic
TJD5.	Adverse reaction to antidiarrhoeal drug
TJD5z	Adverse reaction to antidiarrhoeal drugs NOS
TJD53	Adverse reaction to pectin
TJD52	Adverse reaction to loperamide
TJD51	Adverse reaction to diphenoxylate
TJD50	Adverse reaction to kaolin
TJD4.	Adverse reaction to digestant
TJD4z	Adverse reaction to digestants NOS
TJD42	Adverse reaction to pepsin
TJD41	Adverse reaction to papain
TJD40	Adverse reaction to pancreatin
TJD3z	Adverse reaction to other cathartics including intestinal atonia drugs NOS
TJD31	Adverse reaction to lactulose
TJD30	Adverse reaction to magnesium sulphate
TJD3.	Adverse reaction to other cathartics, including intestinal atonia drugs
TJD2.	Adverse reaction to emollient cathartic
TJD2z	Adverse reaction to emollient cathartic NOS
TJD20	Adverse reaction to dioctyl sodium sulphosuccinate
TJD1.	Adverse reaction to irritant cathartic
TJD1z	Adverse reaction to irritant cathartics NOS
TJD17	Adverse reaction to phenolphthalein
TJD16	Adverse reaction to senna
TJD15	Adverse reaction to glycerol
TJD14	Adverse reaction to fig
TJD13	Adverse reaction to danthron
TJD12	Adverse reaction to castor oil
TJD11	Adverse reaction to cascara
TJD10	Adverse reaction to bisacodyl
TJD0.	Adverse reaction to antacids and antigastric secretion drugs
TJD0z	Adverse reaction to antacids and antigastric secretion drugs NOS
TJD08	Adverse reaction to proton pump inhibitors
TJD07	Adverse reaction to H2 blockers
TJD06	Adverse reaction to sodium bicarbonate
TJD05	Adverse reaction to magaldrate
TJD04	Adverse reaction to hydrotalcite
TJD03	Adverse reaction to magnesium trisilicate
TJD02	Adverse reaction to magnesium carbonate
TJD01	Adverse reaction to alexitol sodium
TJD00	Adverse reaction to aluminium hydroxide
TJCz.	Adverse reaction to drug primarily affecting the cardiovascular system NOS
TJC9.	Adverse reaction to capillary-active drug
TJC9z	Adverse reaction to capillary-active drugs NOS
TJC91	Adverse reaction to adrenochrome derivative
TJC90	Adverse reaction to metaraminol
TJC8.	Adverse reaction to antivaricose drug
TJC8z	Adverse reaction to antivaricose drugs NOS
TJC81	Adverse reaction to zinc salt
TJC80	Adverse reaction to ethanolamine oleate
TJC6.	Adverse reaction to beta-blockers
TJC6z	Adverse reaction to beta-blockers NOS
TJC68	Adverse reaction to timolol
TJC67	Adverse reaction to sotalol
TJC66	Adverse reaction to oxprenolol
TJC65	Adverse reaction to nadolol
TJC64	Adverse reaction to metoprolol
TJC63	Adverse reaction to labetalol
TJC62	Adverse reaction to atenolol
TJC61	Adverse reaction to acebutolol
TJC..	Adverse reaction to drugs primarily affecting the cardiovascular system
Xa9Dc	Adverse reaction to vasodilator
TJC5z	Adverse reaction to vasodilators NOS
TJC54	Adverse reaction to papaverine
TJC53	Adverse reaction to hydralazine
TJC52	Adverse reaction to diazoxide
TJC51	Adverse reaction to isoxsuprine
TJC50	Adverse reaction to cyclandelate
TJC5.	Adverse reaction to other vasodilators
TJC4.	Adverse reaction to coronary vasodilator
TJC4z	Adverse reaction to coronary vasodilators NOS
TJC47	Adverse reaction to verapamil
TJC46	Adverse reaction to nifedipine
TJC45	Adverse reaction to prenylamine
TJC44	Adverse reaction to dipyridamole
TJC43	Adverse reaction to pentaerythritol tetranitrate
TJC42	Adverse reaction to isosorbide mononitrate
TJC41	Adverse reaction to isosorbide dinitrate
TJC40	Adverse reaction to glyceryl trinitrate
TJC7z	Adverse reaction to antihypertensives NOS
TJC79	Adverse reaction to ramipril
TJC78	Adverse reaction to enalapril
TJC77	Adverse reaction to captopril
TJC76	Adverse reaction to prazosin
TJC75	Adverse reaction to guanethidine
TJC74	Adverse reaction to debrisoquine
TJC73	Adverse reaction to bethanidine
TJC72	Adverse reaction to reserpine
TJC71	Adverse reaction to methyldopa
TJC70	Adverse reaction to clonidine
TJC7.	Adverse reaction to other antihypertensives
TJC3.	Adverse reaction to ganglion blocking drug
TJC3z	Adverse reaction to ganglion blockers NOS
TJC31	Adverse reaction to trimetaphan camsylate
TJC30	Adverse reaction to pentamethonium bromide
TJC2.	Adverse reaction to antilipaemic and anti-arteriosclerotic drugs
XaIro	Adverse reaction to statins
TJC2z	Adverse reaction to antilipaemic and antiarteriosclerotic drugs NOS
TJC25	Adverse reaction to pravastatin
TJC24	Adverse reaction to simvastatin
TJC23	Adverse reaction to nicotinic acid derivative
TJC22	Adverse reaction to bezafibrate
TJC21	Adverse reaction to clofibrate
TJC20	Adverse reaction to cholestyramine
TJC1.	Adverse reaction to cardiac glycoside
TJC1z	Adverse reaction to cardiac glycosides NOS
TJC12	Adverse reaction to lanatoside C
TJC11	Adverse reaction to digitoxin
TJC10	Adverse reaction to digoxin
TJC0.	Adverse reaction to cardiac rhythm regulator
TJC0z	Adverse reaction to cardiac rhythm regulator NOS
TJC03	Adverse reaction to quinidine
TJC02	Adverse reaction to propranolol
TJC01	Adverse reaction to procainamide
TJC00	Adverse reaction to practolol
TJB..	Adverse reaction to drugs primarily affecting autonomic nervous system
TJBz.	Adverse reaction to drug primarily affecting the autonomic nervous system NOS
TJB3.	Adverse reaction to sympatholytic
TJB3z	Adverse reaction to sympatholytic NOS
TJB32	Adverse reaction to tolazoline
TJB31	Adverse reaction to phentolamine mesylate
TJB30	Adverse reaction to phenoxybenzamine
TJB2.	Adverse reaction to sympathomimetic
TJB2z	Adverse reaction to sympathomimetic NOS
TJB23	Adverse reaction to isoprenaline sulphate
TJB22	Adverse reaction to ephedrine
TJB21	Adverse reaction to noradrenaline
TJB20	Adverse reaction to adrenaline, epinephrine
TJB1.	Adverse reaction to parasympatholytic and spasmolytic
TJB1z	Adverse reaction to parasympatholytic or spasmolytic NOS
TJB14	Adverse reaction to methixene
TJB13	Adverse reaction to benztropine
TJB12	Adverse reaction to hyoscine
TJB11	Adverse reaction to homatropine
TJB10	Adverse reaction to atropine
TJB0.	Adverse reaction to parasympathomimetic
TJB0z	Adverse reaction to parasympathomimetics NOS
TJB06	Adverse reaction to pilocarpine
TJB05	Adverse reaction to anticholinesterase
TJB04	Adverse reaction to acetylcholine
TJB03	Adverse reaction to pyridostigmine bromide
TJB02	Adverse reaction to neostigmine
TJB01	Adverse reaction to edrophonium chloride
TJB00	Adverse reaction to distigmine bromide
TJA..	Adverse reaction to central nervous system stimulant
TJAz.	Adverse reaction to central nervous system stimulants NOS
TJAy.	Adverse reaction to other central nervous system stimulants
TJA1.	Adverse reaction to opiate antagonist
TJA1z	Adverse reaction to opiate antagonists NOS
TJA12	Adverse reaction to naloxone
TJA11	Adverse reaction to nalorphine
TJA10	Adverse reaction to levallorphan
TJA0.	Adverse reaction to analeptic
TJA0z	Adverse reaction to analeptics NOS
TJA03	Adverse reaction to ethamivan
TJA02	Adverse reaction to doxapram
TJA01	Adverse reaction to lobeline
TJA00	Adverse reaction to nikethamide
TJ9..	Adverse reaction to psychotropic agent
TJ9z.	Adverse reaction to psychotropic agent NOS
TJ9y.	Adverse reaction to other psychotropic agent
TJ97.	Adverse reaction to psychostimulant
TJ97z	Adverse reaction to psychostimulant NOS
TJ972	Adverse reaction to dexamphetamine
TJ971	Adverse reaction to pemoline
TJ970	Adverse reaction to caffeine
TJ96.	Adverse reaction to hallucinogen
TJ96z	Adverse reaction to hallucinogen NOS
TJ965	Adverse reaction to psilocybin
TJ964	Adverse reaction to psilocin
TJ963	Adverse reaction to mescaline
TJ961	Adverse reaction to lysergide
TJ960	Adverse reaction to marihuana
TJ95z	Adverse reaction to tranquillisers NOS
TJ953	Adverse reaction to tetrabenazine
TJ952	Adverse reaction to chlormezanone
TJ951	Adverse reaction to meprobamate
TJ950	Adverse reaction to hydroxyzine
TJ95.	Adverse reaction to other tranquillisers
TJ94.	Adverse reaction to benzodiazepine-based tranquilliser
TJ94z	Adverse reaction to benzodiazepine-based tranquilliser NOS
TJ94C	Adverse reaction to clonazepam
TJ94B	Adverse reaction to oxazepam
TJ94A	Adverse reaction to medazepam
TJ949	Adverse reaction to lorazepam
TJ948	Adverse reaction to ketazolam
TJ947	Adverse reaction to clorazepate dipotassium
TJ946	Adverse reaction to clobazam
TJ945	Adverse reaction to chlordiazepoxide
TJ944	Adverse reaction to diazepam
TJ943	Adverse reaction to triazolam
TJ942	Adverse reaction to temazepam
TJ941	Adverse reaction to flurazepam
TJ940	Adverse reaction to nitrazepam
TJ93.	Adverse reaction to other major tranquilliser
TJ92.	Adverse reaction to butyrophenone-based tranquilliser
TJ92z	Adverse reaction to butyrophenone-based tranquillisers NOS
TJ922	Adverse reaction to trifluperidol
TJ921	Adverse reaction to spiperone
TJ920	Adverse reaction to haloperidol
TJ91.	Adverse reaction to phenothiazine-based tranquilliser
TJ91z	Adverse reaction to phenothiazine-based tranquillisers NOS
TJ916	Adverse reaction to thioridazine
TJ915	Adverse reaction to promazine
TJ914	Adverse reaction to prochlorperazine
TJ913	Adverse reaction to perphenazine
TJ912	Adverse reaction to pericyazine
TJ911	Adverse reaction to fluphenazine
TJ910	Adverse reaction to chlorpromazine
TJ90.	Adverse reaction to antidepressant
TJ90z	Adverse reaction to antidepressants NOS
TJ90J	Adverse reaction to oxypertine
TJ90H	Adverse reaction to tryptophan
TJ90G	Adverse reaction to flupenthixol
TJ90F	Adverse reaction to tranylcypromine
TJ90E	Adverse reaction to isocarboxazid
TJ90D	Adverse reaction to phenelzine
TJ90C	Adverse reaction to mianserin
TJ90B	Adverse reaction to maprotiline
TJ90A	Adverse reaction to trimipramine
TJ909	Adverse reaction to protriptyline
TJ908	Adverse reaction to nortriptyline
TJ907	Adverse reaction to lofepramine
TJ906	Adverse reaction to imipramine
TJ905	Adverse reaction to doxepin
TJ904	Adverse reaction to dothiepin
TJ903	Adverse reaction to desipramine
TJ902	Adverse reaction to clomipramine
TJ901	Adverse reaction to butriptyline
TJ900	Adverse reaction to amitriptyline
TJ8..	Adverse reaction to other central nervous system depressants and anaesthetics
TJ6..	Adverse reaction to anticonvulsants and anti-parkinsonism drugs
TJ6z.	Adverse reaction to anticonvulsant and antiparkinsonism drugs NOS
TJ64.	Adverse reaction to antiparkinsonism drug
TJ64z	Adverse reaction to antiparkinsonism drugs NOS
TJ645	Adverse reaction to biperiden
TJ644	Adverse reaction to orphenadrine
TJ643	Adverse reaction to selegiline
TJ642	Adverse reaction to benzhexol
TJ641	Adverse reaction to levodopa, L-dopa
TJ640	Adverse reaction to amantadine
TJ633	Adverse reaction to sodium valproate
TJ632	Adverse reaction to carbamazepine
TJ631	Adverse reaction to primidone
TJ630	Adverse reaction to beclamide
TJ63.	Adverse reaction to other anticonvulsant
TJ63z	Adverse reaction to anticonvulsants NOS
TJ62.	Adverse reaction to succinimide
TJ62z	Adverse reaction to succinimides NOS
TJ621	Adverse reaction to phensuximide
TJ620	Adverse reaction to ethosuximide
TJ61.	Adverse reaction to hydantoin derivative
TJ61z	Adverse reaction to hydantoin derivatives NOS
TJ610	Adverse reaction to phenytoin
TJ60.	Adverse reaction to oxazolidine derivative
TJ60z	Adverse reaction to oxazolidine derivatives NOS
TJ601	Adverse reaction to trimethadione
TJ600	Adverse reaction to paramethadione
TJ4..	Adverse reaction to agents primarily affecting blood constituents
TJ4z.	Adverse reaction to agent affecting blood constituents NOS
TJ4y0	Adverse reaction to macromolecular blood substitutes
TJ4y.	Adverse reaction to other agent affecting blood constituents
TJ4yz	Adverse reaction to other agent affecting blood constituents NOS
TJ47.	Adverse reaction to natural blood and blood products
TJ47z	Adverse reaction to blood or blood products NOS
TJ473	Adverse reaction to whole blood
TJ472	Adverse reaction to packed red cells
TJ471	Adverse reaction to human fibrinogen
TJ470	Adverse reaction to blood plasma
TJ46.	Adverse reaction to gamma globulin
TJ45.	Adverse reaction to anticoagulant antagonists
TJ45z	Adverse reaction to anticoagulant antagonist NOS
TJ452	Adverse reaction to tranexamic acid
TJ451	Adverse reaction to ethamsylate
TJ450	Adverse reaction to protamine sulphate
TJ44.	Adverse reaction to fibrinolytic drugs
TJ44z	Adverse reaction to fibrinolytic drugs NOS
TJ441	Adverse reaction to urokinase
TJ440	Adverse reaction to streptokinase
TJ43.	Adverse reaction to vitamin K
TJ43z	Adverse reaction to vitamin K NOS
TJ430	Adverse reaction to phytomenadione
TJ42.	Adverse reaction to anticoagulants
TJ42z	Adverse reaction to anticoagulants NOS
TJ423	Adverse reaction to phenindione
TJ422	Adverse reaction to nicoumalone
TJ421	Adverse reaction to warfarin sodium
TJ420	Adverse reaction to heparin
TJ41z	Adverse reaction to liver preparations and other antianaemic agents NOS
TJ412	Adverse reaction to folic acid
TJ411	Adverse reaction to cyanocobalamin
TJ410	Adverse reaction to hydroxocobalamin
TJ41.	Adverse reaction to liver preparations and other antianaemic agents
TJ40.	Adverse reaction to iron and iron compounds
TJ40z	Adverse reaction to iron and iron compounds NOS
TJ407	Adverse reaction to iron sorbitol injection
TJ406	Adverse reaction to iron dextran injection
TJ405	Adverse reaction to ferric salts
TJ404	Adverse reaction to ferrous succinate
TJ403	Adverse reaction to ferrous glycine sulphate
TJ402	Adverse reaction to ferrous gluconate
TJ401	Adverse reaction to ferrous fumarate
TJ400	Adverse reaction to ferrous sulphate
TJ3..	Adverse reaction to primarily systemic agents
Xa9Db	Adverse reaction to vitamins
TJ35z	Adverse reaction to vitamin NOS
TJ351	Adverse reaction to vitamin D
TJ350	Adverse reaction to vitamin A
TJ35.	Adverse reaction to vitamins NEC
Xa9Da	Adverse reaction to enzymes
TJ34z	Adverse reaction to enzymes NOS
TJ340	Adverse reaction to penicillamine
TJ34.	Adverse reaction to enzymes NEC
TJ3z.	Adverse reaction to systemic agent NOS
TJ33.	Adverse reaction to alkalising agents
TJ32.	Adverse reaction to acidifying agents
TJ31.	Adverse reaction to antineoplastic and immunosuppressive drugs
TJ31z	Adverse reaction to antineoplastic and immunosuppressive drugs NOS
TJ31S	Adverse reaction to cyclosporin
TJ31R	Adverse reaction to antilymphocyte immunoglobulin
TJ31Q	Adverse reaction to azathioprine
TJ31P	Adverse reaction to razoxane
TJ31N	Adverse reaction to procarbazine
TJ31M	Adverse reaction to mitozantrone
TJ31L	Adverse reaction to hydroxyurea
TJ31K	Adverse reaction to cisplatin
TJ31J	Adverse reaction to carboplatin
TJ31H	Adverse reaction to vincristine sulphate
TJ31G	Adverse reaction to vinblastine sulphate
TJ31F	Adverse reaction to etoposide
TJ31E	Adverse reaction to thioguanine
TJ31D	Adverse reaction to methotrexate
TJ31C	Adverse reaction to mercaptopurine
TJ31B	Adverse reaction to fluorouracil
TJ31A	Adverse reaction to cytarabine
TJ319	Adverse reaction to treosulfan
TJ318	Adverse reaction to thiotepa
TJ317	Adverse reaction to mustine hydrochloride
TJ316	Adverse reaction to melphalan
TJ315	Adverse reaction to lomustine
TJ314	Adverse reaction to estramustine phosphate
TJ313	Adverse reaction to cyclophosphamide
TJ312	Adverse reaction to chlorambucil
TJ311	Adverse reaction to carmustine
TJ310	Adverse reaction to busulphan
TJ30.	Adverse reaction to antiallergic and antiemetic drugs
TJ30z	Adverse reaction to antiallergic and antiemetic drugs NOS
TJ303	Adverse reaction to metoclopramide
TJ302	Adverse reaction to diphenylpyraline
TJ301	Adverse reaction to chlorpheniramine
TJ300	Adverse reaction to antihistamines
TJ2..	Adverse reaction to hormones and synthetic substitutes
TJ2z.	Adverse reaction to hormones and synthetic substances NOS
TJ28.	Adverse reaction to antithyroid agents
TJ28z	Adverse reaction to antithyroid agents NOS
TJ282	Adverse reaction to propylthiouracil
TJ281	Adverse reaction to iodine or iodide
TJ280	Adverse reaction to carbimazole
TJ27.	Adverse reaction to thyroid and thyroid derivatives
TJ27z	Adverse reaction to thyroid and thyroid derivatives NOS
TJ272	Adverse reaction to thyroglobulin
TJ271	Adverse reaction to thyroxine sodium
TJ270	Adverse reaction to liothyronine sodium
TJ26.	Adverse reaction to parathyroid and parathyroid derivatives
TJ26z	Adverse reaction to parathyroid and parathyroid derivatives NOS
TJ261	Adverse reaction to salcatonin
TJ260	Adverse reaction to calcitonin
TJ25.	Adverse reaction to posterior pituitary hormones
TJ25z	Adverse reaction to posterior pituitary hormone NOS
TJ253	Adverse reaction to terlipressin
TJ252	Adverse reaction to lypressin
TJ251	Adverse reaction to desmopressin
TJ250	Adverse reaction to vasopressin
TJ24.	Adverse reaction to anterior pituitary hormones
TJ24z	Adverse reaction to anterior pituitary hormone NOS
TJ243	Adverse reaction to somatotrophin, growth hormone
TJ242	Adverse reaction to follicle stimulating hormone, FSH
TJ241	Adverse reaction to chorionic gonadotrophin
TJ240	Adverse reaction to corticotrophin, ACTH
TJ23.	Adverse reaction to insulins and antidiabetic agents
TJ23z	Adverse reaction to insulins and antidiabetic agents NOS
TJ23B	Adverse reaction to glucagon
TJ23A	Adverse reaction to metformin hydrochloride
TJ239	Adverse reaction to tolbutamide
TJ238	Adverse reaction to tolazamide
TJ237	Adverse reaction to glymidine
TJ236	Adverse reaction to gliquidone
TJ235	Adverse reaction to glipizide
TJ234	Adverse reaction to gliclazide
TJ233	Adverse reaction to glibenclamide
TJ232	Adverse reaction to chlorpropamide
TJ231	Adverse reaction to acetohexamide
TJ230	Adverse reaction to insulins
TJ22.	Adverse reaction to ovarian hormones and synthetic substitutes
TJ22z	Adverse reaction to ovarian hormone or synthetic substitute NOS
TJ22y	Adverse reaction to unspecified oral contraceptive
TJ22x	Adverse reaction to combined oestrogens and progestogens
TJ22A	Adverse reaction to progesterone
TJ229	Adverse reaction to norethisterone
TJ228	Adverse reaction to medroxyprogesterone acetate
TJ227	Adverse reaction to hydroxyprogesterone hexanoate
TJ226	Adverse reaction to dydrogesterone
TJ225	Adverse reaction to allyloestrenol
TJ224	Adverse reaction to piperazine oestrone sulphate
TJ223	Adverse reaction to conjugated oestrogens
TJ222	Adverse reaction to oestriol
TJ221	Adverse reaction to oestradiol
TJ220	Adverse reaction to ethinyloestradiol
TJ21.	Adverse reaction to androgens and anabolic steroids
TJ21z	Adverse reaction to androgen or anabolic steroid NOS
TJ215	Adverse reaction to stanozolol
TJ214	Adverse reaction to nandrolone
TJ213	Adverse reaction to testosterone esters
TJ212	Adverse reaction to testosterone
TJ211	Adverse reaction to methyltestosterone
TJ210	Adverse reaction to mesterolone
TJ20.	Adverse reaction to adrenal cortical steroid
TJ20z	Adverse reaction to adrenal cortical steroid NOS
TJ208	Adverse reaction to triamcinolone
TJ207	Adverse reaction to prednisone
TJ206	Adverse reaction to prednisolone
TJ205	Adverse reaction to methylprednisolone
TJ204	Adverse reaction to hydrocortisone
TJ203	Adverse reaction to cortisone acetate
TJ202	Adverse reaction to dexamethasone
TJ201	Adverse reaction to betamethasone
TJ200	Adverse reaction to fludrocortisone acetate
XaQad	Adverse reaction to nebivolol
XaQac	Adverse reaction to carvedilol
XaQab	[X]Adverse reaction to bisoprolol
9G4..	Adverse drug reaction notif
XE1os	Adverse drug reaction NOS
XaDt1	[X]Topical hydrocortisone adverse reaction
XaEGk	[X]Teicoplanin adverse reaction
XaIRL	[X]Lipid-lowering drug adverse reaction
XaK3c	[X]Adverse reaction to caffeine
XaKJq	[X]Adverse reaction to pneumococcal vaccine
